Darija,English
واخا عندي السخانة والتهاب الحلق، ولكن حاس باللي راني مزيان ونقدر نخدم الخدمة ديالي من بعيد.,"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting."
الاستناد لهاذ الحفرية كيعني أن الانشقاق وقع بكري بزاف على اللي كان متوقع يلا رجعنا للدليل الجزيئي.,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence."
"وقال السيد كوستيلو: ""يلا ولات القضية تجارية، خاصنا نمتكله. بمعنى، أنه مكاينش اعتراض من حيث المبدأ على الطاقة النووية"".","""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said."
"قال المتحدث باسم الحكومة: ""من المهم دابا سواءً من منظور الصّحة العامّة أو من منظور العدالة الجنائية أنه يدوز التّشريع في أسرع وقت ممكنٍ.""","""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson."
غادير لحال سلوك دالما. هي شفافة تماما بحال الما.,"""It's going to behave like water. It's transparent just the way water is."
لحسن الحظ أنه حتى حاجة ماوقعات ليا ولكن شفت واحد المشهد بشع اللي الناس حاولو يهرسو النوافذ باش يخرجو.,"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out."
"""أوراق بناما"" هو مصطلح تيرجع على المليون وثيقة اللي سربتها شركة المحامات موساك فونسيكا للصحافة فالربيع د2016.","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016."
يقدر شي وحدين مايتافقوش ولكن ماشي سوقي.,"""Some may not agree but I don't care."
"""كيما قال سيبيورن فواحد المؤثمر صحفي"": شكرا لهادوك لي وقفو معا واحد مسجون بحالي.","""Thanks for those who supported a convict like me,"" Siriporn was quoted as saying at a press conference."
"""كاميرات لمراقبة غتسيفط اشارات قوية لناس اللي كيخدمو مع الحيوانات بأن السلامة ديالها هي الاولويه لقصوي"".","""The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority."""
"""قالت الأم بلّي كنّا فواحد الصدمه"".","""We were all simply in shock,"" the mother stated."
"قال أمير خان اللي شد الميدالية الفضية في الأولمبياد ديال عام 2004، ""من نظري أن العيالات مخصهاش تحارب. وهاذي وجهة نظري.""","2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion."""
جيسوس اللي عنده 21 عام مشى لمانشستر سيتي العام اللي فات في يناير 2017 وكان جاي من نادي بالميراس البرازيلي بمقابل 27 مليون جنيه إسترليني.,21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.
ومن بعد ما دازت 250 عام، ولات غينيس شركةً عالميةً كتربح أكثر من 10 مليار ديال الأورو (تقريبا 14.7 مليار دولار أمريكي كل عام.,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year."
فيدال الي عندو 28 عام جا للبرصا هاذي ثلاثة ديال المواسم من بعد ما كان ف إشبيلية.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla."
800 ميل من نظام خط أنابيب ترانس ألاسكا تسدات من بعد ما تسربات آلاف البراميل من النفط الخام ف الجنوب ديال مدينة فيربانكس ف ولاية ألاسكا.,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska."
كيطييوا وجبة هانجي في حفرة سخونة في الأرض.,A Hangi Meal is cooked in a hot pit in the ground.
كان يقدر ترايسيراتوبس يستخدم المنقار دياله القوي باش يحيد الأوراق قبل ما ياكل الجذع.,A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.
المعرض العالمي (المعروف بسمية المعرض العالمي، أو ببساطة المعرض) هو مهرجان دولي كبير ديال الفنون والعلوم.,"A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences."
سلاح الفرسان هو جيش كيقاتل وهو راكب على الخيل. حيث كانوا مازال ما اخترعوا السرج، على ذاكشي الفرسان الآشوريون حاربوا وهما راكبين الخيل ديالهم وهو مافيهش الركاب.,"A cavalry is an army that fights on horseback. The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses."
الخلية هي أصغر وحدة هيكلية ووظيفية كاينة في الكائن الحي (الأشياء).,A cell is the smallest structural and functional unit of a living (things) organism.
دارو تغيير في هاذ الجلسة التشريعية منين حيدو الجملة الثانية ف الأول ف مجلس النواب ومن بعد صوت عليها مجلس الشيوخ بنفس الشكل نهار الاثنين.,A change was made this legislative session when the second sentence was deleted first by the House of Representatives and then was passed in a similar form by the Senate Monday.
المرض المعدي هو المرض الي كينتقل بسهولة عن طريق التواجد بالقرب من شي واحد مصاب.,A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.
كيعيش هنا ألفين ديال الموظفين ف الصيف في شي أربعين قاعدة تقريبا أغلبها في ذيك المناطق؛ وكيبقى عدد قليل منهم ف فصل الشتاء.,A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.
